reviewerID	asin	link
A00177463W0XWB16A9O05	B000HZF17K	https://www.amazon.com/dp/B000HZF17K
A00177463W0XWB16A9O05	B000E63LMY	https://www.amazon.com/dp/B000E63LMY
A00177463W0XWB16A9O05	B001EYUE6G	https://www.amazon.com/dp/B001EYUE6G
A00177463W0XWB16A9O05	B000EM8UGU	https://www.amazon.com/dp/B000EM8UGU
A022899328A0QROR32DCT	B00112W162	https://www.amazon.com/dp/B00112W162
A022899328A0QROR32DCT	B000G82L62	https://www.amazon.com/dp/B000G82L62
A022899328A0QROR32DCT	B00IJ4JBJA	https://www.amazon.com/dp/B00IJ4JBJA
A06944662TFWOKKV4GJKX	B001HXR408	https://www.amazon.com/dp/B001HXR408
A06944662TFWOKKV4GJKX	B004YT5ZTY	https://www.amazon.com/dp/B004YT5ZTY
A06944662TFWOKKV4GJKX	B001E95KOC	https://www.amazon.com/dp/B001E95KOC
A1006HCQDMYC5W	B0006GSXNO	https://www.amazon.com/dp/B0006GSXNO
A1006HCQDMYC5W	B0009P68HK	https://www.amazon.com/dp/B0009P68HK
A1008DPSP6KC9J	B005Y0M5T0	https://www.amazon.com/dp/B005Y0M5T0
A1008DPSP6KC9J	B000E3FKXA	https://www.amazon.com/dp/B000E3FKXA
A1008DPSP6KC9J	B000HDI5OS	https://www.amazon.com/dp/B000HDI5OS
A1008DPSP6KC9J	B000JSQKL6	https://www.amazon.com/dp/B000JSQKL6
A100DXY4SLAMPM	B001EO5Q64	https://www.amazon.com/dp/B001EO5Q64
A100WO06OQR8BQ	B00DGPCC3O	https://www.amazon.com/dp/B00DGPCC3O
A100WO06OQR8BQ	B005OVPKCI	https://www.amazon.com/dp/B005OVPKCI
A100WO06OQR8BQ	B00BLMFL9Q	https://www.amazon.com/dp/B00BLMFL9Q
A100WO06OQR8BQ	B008I1XLDQ	https://www.amazon.com/dp/B008I1XLDQ
A100ZQDV7L8PVV	B00F49XAWW	https://www.amazon.com/dp/B00F49XAWW
A100ZQDV7L8PVV	B001ELL2DS	https://www.amazon.com/dp/B001ELL2DS
A100ZQDV7L8PVV	B00H727LVA	https://www.amazon.com/dp/B00H727LVA
A100ZQDV7L8PVV	B000CRIBCK	https://www.amazon.com/dp/B000CRIBCK
A10103MJIKKIFE	B001JTIQXO	https://www.amazon.com/dp/B001JTIQXO
A10103MJIKKIFE	B003CIFNZO	https://www.amazon.com/dp/B003CIFNZO
A101RRYMZM4KYV	B0049YK1W0	https://www.amazon.com/dp/B0049YK1W0
A101RRYMZM4KYV	B000G1766O	https://www.amazon.com/dp/B000G1766O
A101RRYMZM4KYV	B001VNGLUI	https://www.amazon.com/dp/B001VNGLUI
A101RRYMZM4KYV	B00478L5T6	https://www.amazon.com/dp/B00478L5T6
A1025ZA8TGG21H	B0015KAYN2	https://www.amazon.com/dp/B0015KAYN2
A102NK63Y7ADU7	B00IV2XZWY	https://www.amazon.com/dp/B00IV2XZWY
A103U3KR4L2ZXT	B006CFV9Q6	https://www.amazon.com/dp/B006CFV9Q6
A103U3KR4L2ZXT	B00474OQWI	https://www.amazon.com/dp/B00474OQWI
A103U3KR4L2ZXT	B001ELL67A	https://www.amazon.com/dp/B001ELL67A
A103U3KR4L2ZXT	B004M8NV9S	https://www.amazon.com/dp/B004M8NV9S
